source,feature,metabolite,labeling,sample_name,value,sample
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0215_SQ2_3h,0.0151298161007997,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0215_SQ2_3h,0.00381898854703692,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0215_SQ2_3h,0.0200063666867035,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0215_SQ2_3h,0.106722951067943,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0215_SQ2_3h,0.10504357820372,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0215_SQ2_3h,0.174848112305614,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0215_SQ3_3h,0.120096908641654,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0215_SQ3_3h,0.178580201973614,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0215_SQ3_3h,0.0581670255488289,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0215_SQ3_3h,0.0123313920141458,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0215_SQ3_3h,0.036062944318511,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0215_SQ3_3h,0.0234760232429902,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0215_SQ3_3h,0.0140144775413665,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0215_SQ3_3h,0.0291535464286701,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0215_SQ3_3h,0.123923193894308,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0215_SQ3_3h,0.148378011752193,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0215_SQ3_3h,0.114815478732269,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0217_SQ1_1h,0.135769564711503,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0217_SQ1_1h,0.135918428466583,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0217_SQ1_1h,0.0390800133428847,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0217_SQ1_1h,0.00990244443485699,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0217_SQ1_1h,0.237319288045399,PDX
